创建新表成功string(44) "1-0-0-安徽安粮国际发展有限公司-1"
string(54) "1-0-0-广州市中崎商业机器股份有限公司-63"
string(42) "1-0-0-吉林优沃斯家居有限公司-63"
string(57) "1-0-0-江苏汇鸿国际集团同泰贸易有限公司-63"
string(42) "1-0-0-瑞金市得邦照明有限公司-63"
string(42) "1-0-0-上海贸基进出口有限公司-63"
string(45) "1-0-0-深圳外贸环兴实业有限公司-63"
string(57) "1-0-0-乌鲁木齐集成多维电子科技有限公司-63"
string(57) "1-0-0-浙江省机械设备进出口有限责任公司-63"
string(45) "1-0-0-重庆鑫源农机股份有限公司-64"
string(42) "1-0-0-北京明迈特贸易有限公司-64"
string(41) "1-0-0-北新建材(集团)有限公司-64"
string(42) "1-0-0-常州市海润机电有限公司-64"
string(48) "1-0-0-常州市和创兴业机械有限公司-64"
string(33) "1-0-0-丹阳市申郑电器厂-64"
string(51) "1-0-0-佛山市弘舜进出口贸易有限公司-64"
string(51) "1-0-0-佛山市顺德区格越电器有限公司-64"
string(48) "1-0-0-佛山市万宝金品电器有限公司-64"
string(45) "1-0-0-佛山市信孚进出口有限公司-64"
string(45) "1-0-0-广东永衡良品科技有限公司-64"
string(51) "1-0-0-广州红鹰能源科技股份有限公司-64"
string(48) "1-0-0-广州市白云清洁用品有限公司-64"
string(45) "1-0-0-河南九用机械设备有限公司-64"
string(45) "1-0-0-湖北东凯国际贸易有限公司-64"
string(39) "1-0-0-宁波天瑞电器有限公司-65"
string(39) "1-0-0-宁波亚达电器有限公司-65"
string(45) "1-0-0-上海悦奇国际贸易有限公司-65"
string(45) "1-0-0-深圳市鑫麦可贸易有限公司-65"
string(42) "1-0-0-深圳市兆驰股份有限公司-65"
string(45) "1-0-0-张家港中天达工具有限公司-65"
string(45) "1-0-0-浙江泰福泵业股份有限公司-65"
string(42) "1-0-0-浙江温州包装进出口公司-65"
string(33) "1-0-0-中国科学器材公司-65"
string(51) "1-0-0-中山市瀛海长天进出口有限公司-65"
string(39) "1-0-0-重庆润遁贸易有限公司-65"
string(42) "1-0-0-珠海市银沣经贸有限公司-65"
string(45) "1-0-0-北京紫暾科技发展有限公司-65"
string(45) "1-0-0-长沙将旺电子贸易有限公司-65"
string(42) "1-0-0-常州市银磊电子有限公司-65"
string(42) "1-0-0-德州力驰进出口有限公司-66"
string(42) "1-0-0-东莞博力威电池有限公司-66"
string(48) "1-0-0-东莞市凯迪胶粘科技有限公司-66"
string(51) "1-0-0-佛山市汇亿进出口贸易有限公司-66"
string(54) "1-0-0-佛山市南海科日超声电子有限公司-66"
string(51) "1-0-0-佛山市亿进贸易进出口有限公司-66"
string(48) "1-0-0-佛山市正凯乐鑫电器有限公司-66"
string(42) "1-0-0-抚顺澳之源商贸有限公司-66"
string(51) "1-0-0-福建福安闽东亚南电机有限公司-66"
string(45) "1-0-0-广东顺德昌盛实业有限公司-66"
string(54) "1-0-0-广东雪莱特光电科技股份有限公司-66"
string(51) "1-0-0-广东致远国际贸易股份有限公司-66"
string(39) "1-0-0-广州爱奇实业有限公司-66"
string(48) "1-0-0-广州立纬进出口贸易有限公司-66"
string(48) "1-0-0-广州市晋颢体育用品有限公司-66"
string(48) "1-0-0-昆明龙冉进出口贸易有限公司-67"
string(42) "1-0-0-宁波渠成进出口有限公司-67"
string(39) "1-0-0-厦门市仁诚进出口公司-67"
string(51) "1-0-0-四川九洲电器集团有限责任公司-67"
string(54) "1-0-0-苏州工业园区博汇工业品有限公司-67"
string(48) "1-0-0-无锡新苏纺国际贸易有限公司-67"
string(51) "1-0-0-香溢融通控股集团股份有限公司-67"
string(39) "1-0-0-湘潭长荣贸易有限公司-67"
string(48) "1-0-0-新疆金果雷国际贸易有限公司-67"
string(39) "1-0-0-浙江培瑞工具有限公司-67"
string(42) "1-0-0-中国家用电器进出口公司-67"
string(42) "1-0-0-长葛市帝伯机电有限公司-67"
string(48) "1-0-0-东莞市博科电子技术有限公司-67"
string(51) "1-0-0-佛山市德诚远景进出口有限公司-67"
string(48) "1-0-0-佛山市高明亿阳塑胶有限公司-67"
string(48) "1-0-0-佛山市和泓经贸发展有限公司-68"
string(51) "1-0-0-佛山市悦华兴业进出口有限公司-68"
string(45) "1-0-0-广州爱地国际贸易有限公司-68"
string(51) "1-0-0-广州市卫斯理化工科技有限公司-68"
string(48) "1-0-0-广州易而达科技股份有限公司-68"
string(48) "1-0-0-黑龙江永上进进出口有限公司-68"
string(33) "1-0-0-华和重工有限公司-68"
string(39) "1-0-0-昆明舍聚贸易有限公司-68"
string(39) "1-0-0-昆明英潭贸易有限公司-68"
string(39) "1-0-0-辽宁晟创贸易有限公司-68"
string(42) "1-0-0-禄丰铂丽贵金属有限公司-68"
string(39) "1-0-0-南通海泰经贸有限公司-68"
string(51) "1-0-0-内蒙古诚连进出口贸易有限公司-68"
string(39) "1-0-0-宁波志伦电子有限公司-68"
string(57) "1-0-0-青海新力绒纺对外贸易股份有限公司-68"
string(42) "1-0-0-山西凯美特科贸有限公司-69"
string(45) "1-0-0-深圳市高喜路电子有限公司-69"
string(42) "1-0-0-深圳市宽宏科技有限公司-69"
string(42) "1-0-0-深圳市智意科技有限公司-69"
string(45) "1-0-0-五矿工程技术有限责任公司-69"
string(42) "1-0-0-云南昆泰和经贸有限公司-69"
string(42) "1-0-0-镇江爱迪进出口有限公司-69"
string(48) "1-0-0-中国电器科学研究院有限公司-69"
string(48) "1-0-0-常州市九驰车辆部件有限公司-69"
string(48) "1-0-0-东莞市运通环保科技有限公司-69"
string(51) "1-0-0-恩平市西特尔电子科技有限公司-69"
string(39) "1-0-0-佛山豪捷电器有限公司-69"
string(48) "1-0-0-佛山市格来德小家电有限公司-69"
string(57) "1-0-0-佛山市顺德区华申电器制造有限公司-69"
string(45) "1-0-0-广东粤华磁电实业有限公司-69"
string(45) "1-0-0-广西双田家居用品有限公司-70"
string(51) "1-0-0-广西五矿桂翔矿产贸易有限公司-70"
string(51) "1-0-0-广州市波迪光电新技术有限公司-70"
string(45) "1-0-0-广州市花都区对外贸易公司-70"
string(42) "1-0-0-广州市新英电器有限公司-70"
string(42) "1-0-0-海南新兴进出口有限公司-70"
string(48) "1-0-0-江门市沃得光电科技有限公司-70"
string(63) "1-0-0-江苏省粮油食品进出口集团股份有限公司-70"
string(39) "1-0-0-江西凡达建材有限公司-70"
string(42) "1-0-0-金华市聚杰电器有限公司-70"
string(42) "1-0-0-厦门五洲红贸易有限公司-70"
string(75) "1-0-0-上海保税商品交易市场中国铁路贸易中心有限公司-70"
string(51) "1-0-0-上海南市对外经济贸易有限公司-70"
string(42) "1-0-0-深圳市巨诺电子有限公司-70"
string(57) "1-0-0-深圳市拓日新能源科技股份有限公司-70"
string(45) "1-0-0-深圳市希科普股份有限公司-71"
string(48) "1-0-0-中国电子进出口浙江有限公司-71"
string(39) "1-0-0-珠海广金厨具有限公司-71"
string(51) "1-0-0-珠海经济特区越盈电器有限公司-71"
string(39) "1-0-0-常州大航车业有限公司-71"
string(42) "1-0-0-常州山崎摩托车有限公司-71"
string(42) "1-0-0-常州市辉腾电子有限公司-71"
string(39) "1-0-0-阜新福壹实业有限公司-71"
string(42) "1-0-0-阜新晟焱纺织品有限公司-71"
string(51) "1-0-0-广东公信智能会议股份有限公司-71"
string(51) "1-0-0-广东罗曼智能科技股份有限公司-71"
string(39) "1-0-0-广东威王集团有限公司-71"
string(45) "1-0-0-广州市金錾进出口有限公司-71"
string(51) "1-0-0-贵州华德宏凯电子科技有限公司-71"
string(42) "1-0-0-兰考县瑞野灯饰有限公司-71"
string(45) "1-0-0-辽宁东元国际商贸有限公司-72"
string(45) "1-0-0-南宁万得机械设备有限公司-72"
string(45) "1-0-0-宁波长荣光电科技有限公司-72"
string(45) "1-0-0-融捷健康科技股份有限公司-72"
string(42) "1-0-0-陕西福瑞森贸易有限公司-72"
string(48) "1-0-0-上海昌鹏进出口贸易有限公司-72"
string(45) "1-0-0-上海凯敦实业发展有限公司-72"
string(39) "1-0-0-深圳国威电子有限公司-72"
string(45) "1-0-0-深圳市百亿耳电器有限公司-72"
string(33) "1-0-0-協益五金有限公司-72"
string(53) "1-0-0-渲美美健(深圳)科技股份有限公司-72"
string(42) "1-0-0-浙江杰斯特电器有限公司-72"
string(48) "1-0-0-中山市豪尼灯饰照明有限公司-72"
string(45) "1-0-0-安徽理士电源技术有限公司-72"
string(45) "1-0-0-安徽林啸汽车用品有限公司-72"
string(60) "1-0-0-安徽省纺织品发展进出口有限责任公司-73"
string(39) "1-0-0-大连法臻集团有限公司-73"
string(39) "1-0-0-德意控股集团有限公司-73"
string(51) "1-0-0-广东省东莞畜产进出口有限公司-73"
string(42) "1-0-0-杭州庄诚进出口有限公司-73"
string(51) "1-0-0-黑龙江省腾远贸易有限责任公司-73"
string(39) "1-0-0-江苏大东钢板有限公司-73"
string(57) "1-0-0-江苏汇鸿国际集团中天控股有限公司-73"
string(39) "1-0-0-宁夏华枫商贸有限公司-73"
string(51) "1-0-0-厦门新兴海峡实业有限责任公司-73"
string(54) "1-0-0-山东万事达建筑钢品股份有限公司-73"
string(45) "1-0-0-山西中瑞贸易有限责任公司-73"
string(45) "1-0-0-山西中瑞天悦贸易有限公司-73"
string(45) "1-0-0-上海迪硕国际贸易有限公司-73"
string(39) "1-0-0-上海广为实业有限公司-73"
string(39) "1-0-0-上海舟水电器有限公司-74"
string(51) "1-0-0-深圳市三利达电器科技有限公司-74"
string(45) "1-0-0-深圳市欣力通科技有限公司-74"
string(45) "1-0-0-温州国际贸易集团有限公司-74"
string(48) "1-0-0-漳州市华威电源科技有限公司-74"
string(45) "1-0-0-浙江帅康电气股份有限公司-74"
string(45) "1-0-0-中国长城工业广州有限公司-74"
string(32) "1-0-0-Alteco Chemical Pte Ltd-74"
string(45) "1-0-0-常州平江电气设备有限公司-74"
string(39) "1-0-0-晨辉光宝科技有限公司-74"
string(48) "1-0-0-佛山市亿达胶粘制品有限公司-74"
string(42) "1-0-0-甘肃华信进出口有限公司-74"
string(42) "1-0-0-广州朗晴电动车有限公司-74"
string(45) "1-0-0-哈尔滨富斯通贸易有限公司-74"
string(39) "1-0-0-海特光电有限责任公司-74"
string(48) "1-0-0-江苏艾咪电动车科技有限公司-75"
string(45) "1-0-0-开平欧标水暖器材有限公司-75"
string(39) "1-0-0-昆明运杰经贸有限公司-75"
string(39) "1-0-0-宁波科飞电器有限公司-75"
string(39) "1-0-0-厦门宜众贸易有限公司-75"
string(48) "1-0-0-山西原宇进出口贸易有限公司-75"
string(45) "1-0-0-上海卓禹国际贸易有限公司-75"
string(45) "1-0-0-深圳市华思旭科技有限公司-75"
string(42) "1-0-0-深圳市朗强科技有限公司-75"
string(33) "1-0-0-市下控股有限公司-75"
string(39) "1-0-0-雅迪科技集团有限公司-75"
string(42) "1-0-0-洋浦那若巴实业有限公司-75"
string(45) "1-0-0-浙江天梯塑胶科技有限公司-75"
string(39) "1-0-0-浙江浙南电器有限公司-75"
string(45) "1-0-0-中山市国际灯饰城有限公司-75"
string(36) "1-0-0-珠海市新然有限公司-76"
string(17) "1-0-0-Eco-bath-76"
string(39) "1-0-0-常州嘉耘机械有限公司-76"
string(48) "1-0-0-成都乾疆进出口贸易有限公司-76"
string(42) "1-0-0-东莞市东兴铝业有限公司-76"
string(48) "1-0-0-东莞市澳星视听器材有限公司-76"
string(48) "1-0-0-佛山市索尔电子实业有限公司-76"
string(48) "1-0-0-广州市家御汽车贸易有限公司-76"
string(42) "1-0-0-杭州天时进出口有限公司-76"
string(39) "1-0-0-湖州龙通化工有限公司-76"
string(57) "1-0-0-惠州市惠德瑞锂电科技股份有限公司-76"
string(45) "1-0-0-吉林翰德源工艺品有限公司-76"
string(42) "1-0-0-兰州艳蔷薇贸易有限公司-76"
string(48) "1-0-0-内蒙古玉王生物科技有限公司-76"
string(39) "1-0-0-宁波华彩电器有限公司-76"
string(45) "1-0-0-宁波市美上美铝业有限公司-77"
string(44) "1-0-0-日月元科技(深圳)有限公司-77"
string(45) "1-0-0-深圳市添美特科技有限公司-77"
string(42) "1-0-0-益阳市星汇商贸有限公司-77"
string(45) "1-0-0-浙江物产金属集团有限公司-77"
string(33) "1-0-0-中成国际贸易公司-77"
string(45) "1-0-0-中建材集团进出口有限公司-77"
string(45) "1-0-0-中山市欧博尔电器有限公司-77"
string(45) "1-0-0-中山市粤勤进出口有限公司-77"
string(54) "1-0-0-安徽江航爱唯科环境科技有限公司-77"
string(45) "1-0-0-北京蓝版远景经贸有限公司-77"
string(42) "1-0-0-恩平市艺星电子有限公司-77"
string(42) "1-0-0-恩平市裕丰贸易有限公司-77"
string(45) "1-0-0-佛山电器照明股份有限公司-77"
string(54) "1-0-0-佛山市南海区昭信进出口有限公司-77"
string(51) "1-0-0-佛山市顺德区钻厨电器有限公司-78"
string(39) "1-0-0-甘肃金宝实业有限公司-78"
string(54) "1-0-0-广西贺州市桂诚贸易有限责任公司-78"
string(51) "1-0-0-广州市燎烨进出口贸易有限公司-78"
string(39) "1-0-0-广州五羊摩托有限公司-78"
string(39) "1-0-0-贵州裕隆实业有限公司-78"
string(39) "1-0-0-杭州利帆电缆有限公司-78"
string(39) "1-0-0-杭州新湖电子有限公司-78"
string(39) "1-0-0-河南华意手套有限公司-78"
string(48) "1-0-0-河南文祥进出口贸易有限公司-78"
string(45) "1-0-0-黑龙江赛福尔经贸有限公司-78"
string(48) "1-0-0-江苏海四达电源股份有限公司-78"
string(45) "1-0-0-兰州安鸿数码科技有限公司-78"
string(51) "1-0-0-南京博尔迈兴机械设备有限公司-78"
string(48) "1-0-0-内蒙古海立电子材料有限公司-78"
