创建新表成功string(44) "1-0-0-安徽安粮国际发展有限公司-1"
string(51) "1-0-0-大连新达纺织品进出口有限公司-13"
string(57) "1-0-0-广东省顺德五金矿产进出口有限公司-13"
string(45) "1-0-0-沈阳意丰达艺术品有限公司-13"
string(51) "1-0-0-中国精密机械进出口哈尔滨公司-13"
string(57) "1-0-0-中设（苏州）机械设备工程有限公司-13"
string(39) "1-0-0-常州对外贸易有限公司-14"
string(51) "1-0-0-四川省汇利达国际贸易有限公司-14"
string(51) "1-0-0-河南省通用机械进出口有限公司-14"
string(45) "1-0-0-上海天冀国际贸易有限公司-14"
string(39) "1-0-0-重庆开来实业有限公司-14"
string(45) "1-0-0-大连瑞兴国际贸易有限公司-14"
string(51) "1-0-0-宁波亿泰控股集团股份有限公司-14"
string(42) "1-0-0-上海浩兰工艺品有限公司-14"
string(45) "1-0-0-上海长盛国际贸易有限公司-14"
string(45) "1-0-0-上海容佳国际贸易有限公司-14"
string(45) "1-0-0-上海上屹国际贸易有限公司-14"
string(41) "1-0-0-上海协通(集团)有限公司-14"
string(39) "1-0-0-安徽徽商投资有限公司-14"
string(48) "1-0-0-广州市振滔对外贸易有限公司-14"
string(45) "1-0-0-上海东浩国际商务有限公司-14"
string(51) "1-0-0-北京普罗斯托国际电气有限公司-15"
string(39) "1-0-0-台州丰华铜业有限公司-15"
string(45) "1-0-0-青岛宏达华卓机械有限公司-15"
string(51) "1-0-0-杭州市萧山进出口贸易有限公司-15"
string(45) "1-0-0-厦门嘉联恒进出口有限公司-15"
string(45) "1-0-0-厦门合力成进出口有限公司-15"
string(45) "1-0-0-广东星以达进出口有限公司-15"
string(42) "1-0-0-杭州萧然进出口有限公司-15"
string(47) "1-0-0-爱康企业集团(上海)有限公司-15"
string(45) "1-0-0-四川省华英进出口有限公司-15"
string(48) "1-0-0-中国电子进出口珠海有限公司-15"
string(44) "1-0-0-TCL家用电器(合肥)有限公司-15"
string(48) "1-0-0-常州机械设备进出口有限公司-15"
string(48) "1-0-0-福建省外贸家园有限责任公司-15"
string(42) "1-0-0-海南华立源实业有限公司-15"
string(42) "1-0-0-厦门外图进出口有限公司-16"
string(51) "1-0-0-陕西斯克赛德贸易有限责任公司-16"
string(42) "1-0-0-苏州恒润进出口有限公司-16"
string(51) "1-0-0-安徽华菱西厨装备股份有限公司-16"
string(60) "1-0-0-江苏舜天国际集团机械进出口有限公司-16"
string(48) "1-0-0-浙江豪中豪健康产品有限公司-16"
string(57) "1-0-0-浙江省粮油食品进出口股份有限公司-16"
string(45) "1-0-0-安徽海义源进出口有限公司-16"
string(42) "1-0-0-佛山市胜达经贸有限公司-16"
string(51) "1-0-0-广东香山衡器集团股份有限公司-16"
string(45) "1-0-0-四川省五金矿产进出口公司-16"
string(48) "1-0-0-佛山市青松科技股份有限公司-16"
string(45) "1-0-0-广州欣彩电脑耗材有限公司-16"
string(48) "1-0-0-济南莱福瑞制冷配件有限公司-16"
string(42) "1-0-0-浙江盛力进出口有限公司-16"
string(66) "1-0-0-中国吉林森林工业集团进出口有限责任公司-17"
string(45) "1-0-0-厦门金华南进出口有限公司-17"
string(39) "1-0-0-广州泓友贸易有限公司-17"
string(48) "1-0-0-上海韬君进出口贸易有限公司-17"
string(57) "1-0-0-中燕兴国国际贸易（北京）有限公司-17"
string(45) "1-0-0-厦门国贸集团股份有限公司-17"
string(45) "1-0-0-浙江中大技术出口有限公司-17"
string(60) "1-0-0-北京永诚鑫鸿国际进出口贸易有限公司-17"
string(39) "1-0-0-昆明雄尼贸易有限公司-17"
string(42) "1-0-0-广东格兰仕集团有限公司-17"
string(51) "1-0-0-广东雷洋智能科技股份有限公司-17"
string(57) "1-0-0-湖北省轻工业品进出口股份有限公司-17"
string(48) "1-0-0-上海申宏运通进出口有限公司-17"
string(42) "1-0-0-上海玩具进出口有限公司-17"
string(45) "1-0-0-深圳市林澳进出口有限公司-17"
string(42) "1-0-0-深圳市旭安光电有限公司-18"
string(54) "1-0-0-嘉兴良友进出口集团股份有限公司-18"
